,EQ_ID,Lon,Lat,Depth,Mag
0,000000,-72.20088,-34.84484,33.0,7.7
1,000001,-73.51742,-42.63165,52.82,7.7
2,000001_2,-73.93097,-40.63587,26.93,7.3
3,000002,-70.49801,-26.76488,43.57,7.7
4,000002_2,-71.09503,-20.16181,15.17,7.2
5,000003,-73.76677,-36.58052,17.52,7.8
6,000004,-73.27136,-40.9516,51.01,7.8
7,000004_2,-71.07501,-21.93571,11.33,7.1
8,000005,-70.1601,-22.24404,37.22,7.8
9,000005_2,-69.99383,-23.24386,45.16,7.2
10,000006,-70.12771,-23.90122,43.13,8.0
11,000006_2,-70.51888,-26.20335,39.21,7.3
12,000007,-73.52368,-40.57609,40.23,8.0
13,000007_2,-74.38919,-40.45971,16.09,7.1
14,000008,-71.27188,-29.66419,40.36,7.7
15,000008_2,-70.66703,-21.35472,21.5,7.5
16,000009,-70.99371,-25.03348,21.46,7.7
17,000009_2,-71.07717,-24.42679,17.95,7.4
18,000010,-73.32618,-41.27238,50.18,8.0
19,000010_2,-73.79523,-39.06224,26.69,7.1
20,000011,-73.28547,-34.96292,12.01,8.0
21,000011_2,-72.32089,-33.155,14.24,7.1
22,000012,-74.79353,-40.88723,10.57,7.8
23,000012_2,-71.70042,-32.54307,30.5,7.0
24,000013,-71.45587,-29.75569,33.0,7.6
25,000013_2,-70.76676,-21.54239,19.05,7.0
26,000014,-73.94702,-37.57411,18.11,7.9
27,000014_2,-70.11247,-24.73285,48.56,7.2
28,000015,-73.25109,-35.62054,19.05,7.8
29,000016,-73.3938,-37.84822,30.42,7.8
30,000016_2,-71.22314,-30.94011,49.62,7.1
31,000017,-73.9605,-36.23475,10.53,7.8
32,000017_2,-73.08098,-37.70752,38.15,7.6
33,000018,-70.8327,-24.09373,22.47,7.7
34,000019,-73.06132,-34.56584,11.82,7.6
35,000019_2,-73.73499,-43.58228,47.6,7.3
36,000020,-70.41569,-24.85806,38.63,7.8
37,000020_2,-70.62067,-21.09237,23.13,7.0
38,000021,-72.24408,-18.14002,16.24,7.8
39,000021_2,-71.71296,-32.19263,29.79,7.1
40,000022,-73.80932,-41.10436,31.98,7.6
41,000022_2,-70.88727,-19.48449,26.05,7.0
42,000023,-73.77844,-41.89807,37.34,7.6
43,000023_2,-71.65618,-18.62371,18.72,7.1
44,000024,-70.54827,-27.10782,43.73,7.9
45,000024_2,-73.87493,-42.3032,36.64,7.0
46,000025,-71.68765,-18.32413,23.04,8.0
47,000025_2,-71.27652,-25.14431,14.47,7.0
48,000026,-71.09014,-19.66156,19.13,7.8
49,000026_2,-71.08653,-20.33655,14.13,7.4
50,000027,-70.98887,-25.40165,21.83,7.7
51,000027_2,-71.25827,-24.18605,11.41,6.9
52,000028,-73.14875,-38.22581,39.56,7.6
53,000028_2,-72.85385,-35.30582,22.87,7.3
54,000029,-70.70301,-19.37697,33.17,7.9
55,000029_2,-73.45169,-35.07496,10.07,7.5
56,000030,-71.29408,-32.86538,46.94,7.8
57,000030_2,-74.63292,-39.01917,8.78,7.1
58,000031,-70.717,-18.93627,39.92,7.9
59,000031_2,-70.63687,-27.08959,39.45,7.1
60,000032,-72.25198,-32.03292,13.92,7.9
61,000032_2,-73.55194,-35.74272,14.39,7.2
62,000033,-71.85627,-33.26598,26.63,7.7
63,000033_2,-70.10204,-19.62978,52.68,7.1
64,000034,-69.75611,-22.23053,52.92,8.0
65,000034_2,-71.20338,-20.17248,11.8,7.1
66,000035,-69.87849,-23.87329,51.66,7.8
67,000035_2,-71.55653,-29.29114,26.09,7.3
68,000036,-70.11553,-23.48726,41.71,7.8
69,000036_2,-70.75494,-26.52243,30.87,7.1
70,000037,-69.93481,-23.53606,48.27,7.7
71,000038,-73.89779,-43.58145,40.94,7.7
72,000038_2,-70.83251,-18.46997,45.94,7.1
73,000039,-70.5639,-20.7082,26.05,7.9
74,000039_2,-69.74497,-22.61176,53.3,7.1
75,000040,-73.43683,-41.97876,50.75,7.8
76,000040_2,-70.56807,-19.90953,31.53,7.2
77,000041,-71.42997,-31.65223,40.77,7.8
78,000041_2,-73.06076,-36.06333,28.25,7.2
79,000042,-71.16476,-33.17324,53.18,7.7
80,000042_2,-74.52359,-40.22263,13.61,7.1
81,000043,-70.95102,-20.24959,18.15,8.0
82,000043_2,-71.93601,-34.56918,37.43,7.2
83,000044,-71.02379,-18.4689,39.09,7.9
84,000044_2,-70.14024,-22.6994,38.47,7.2
85,000045,-71.06415,-20.52417,13.41,7.9
86,000045_2,-70.16072,-23.18596,39.09,7.1
87,000046,-70.43066,-19.59873,39.94,7.7
88,000047,-74.31017,-40.81576,18.12,7.8
89,000047_2,-71.83978,-28.64294,14.35,7.1
90,000048,-74.50552,-40.37838,14.11,7.8
91,000048_2,-71.61403,-18.06244,31.55,7.0
92,000049,-72.82816,-36.52224,39.67,7.7
93,000049_2,-73.67653,-38.79596,28.56,7.3
94,000050,-70.54573,-19.82475,33.15,7.9
95,000051,-71.18078,-31.94008,52.47,7.7
96,000051_2,-71.3789,-31.97262,43.05,7.1
97,000052,-74.43825,-41.76162,18.24,7.7
98,000052_2,-70.7503,-18.59607,45.94,7.1
99,000053,-69.97522,-22.75614,44.63,7.7
100,000053_2,-73.38649,-38.15947,32.24,7.1
101,000054,-70.60286,-19.34311,37.16,7.9
102,000054_2,-73.67735,-42.55907,45.81,7.3
103,000055,-71.92376,-27.97632,8.29,8.0
104,000055_2,-71.8519,-33.81621,30.47,7.3
105,000056,-70.20205,-24.17832,42.06,7.7
106,000056_2,-74.35957,-37.57337,9.83,7.1
107,000057,-71.2246,-27.9829,24.29,7.9
108,000057_2,-74.65704,-38.44551,6.67,7.2
109,000058,-71.04119,-26.80972,22.3,7.8
110,000058_2,-71.2767,-19.00776,21.56,7.2
111,000059,-70.76398,-23.72324,22.86,8.0
112,000059_2,-74.40883,-40.20794,15.47,7.3
113,000060,-71.40467,-33.2684,43.26,7.7
114,000060_2,-71.75194,-18.78045,15.08,7.3
115,000061_2,-72.53162,-32.32732,7.62,7.1
116,000062,-70.171,-23.28177,39.05,7.9
117,000062_2,-71.28916,-19.75118,13.63,7.2
118,000063,-70.171,-23.28177,39.05,7.8
119,000063_2,-73.35043,-41.74103,52.29,7.4
120,000064,-71.16476,-33.17324,53.18,7.6
121,000064_2,-73.89467,-38.84485,23.39,7.4
122,000065,-70.63956,-27.742,45.12,7.8
123,000065_2,-71.38285,-27.24447,16.54,7.1
124,000066,-73.89156,-41.44893,31.03,7.5
125,000067,-72.6442,-34.341,16.53,7.9
126,000068,-71.22975,-25.08618,15.72,7.8
127,000068_2,-71.20073,-27.5244,21.45,7.0
128,000069,-74.70104,-40.69368,11.58,7.7
129,000069_2,-70.9628,-21.48052,14.57,7.3
130,000070,-71.55653,-29.29114,26.09,7.9
131,000071,-70.93361,-23.84506,19.17,7.9
132,000071_2,-73.28828,-39.07452,42.34,7.2
133,000072,-70.96853,-22.67849,15.5,7.8
134,000072_2,-71.27165,-26.21674,15.46,7.1
135,000073,-72.20088,-34.84484,33.0,7.9
136,000073_2,-70.03358,-20.50232,46.83,6.9
137,000074,-74.57747,-39.89064,12.12,7.6
138,000074_2,-72.4735,-31.72715,8.13,7.3
139,000075,-72.8279,-37.91856,48.16,7.9
140,000075_2,-71.27652,-25.14431,14.47,7.2
141,000076,-70.29723,-24.15383,38.73,7.8
142,000077,-72.6682,-37.19197,49.56,7.8
